region,learning_rate,iteraciones_mean,iteraciones_std,iteraciones_min,iteraciones_max,iteraciones_count,f_final_mean,f_final_std,f_final_min,f_final_max,convergio_mean,convergio_sum,conv_percent,total_ejecuciones,no_conv_count,conv_iter_mean,conv_iter_std
1,0.001,2400.0,0.0,2400,2400,100,-1.7165194588876878,1.9404302095373311,-15.234415410108586,-1.4313105191343227,0.0,0,0.0,100,100,,
1,0.005,1703.65,663.2134713543288,667,2400,100,-3.7871167331610467,5.226782856839726,-15.234422373823175,-1.445622397492177,0.53,53,53.0,100,47,1086.132075471698,102.32847519627268
1,0.01,1614.42,909.7464424195072,367,2400,100,-5.293659607579133,6.25805057492536,-15.234422381121233,-1.445622404888216,0.43,43,43.0,100,57,573.0697674418604,55.598216547637236
1,0.05,1990.98,877.4048048165407,109,2400,100,-4.509800179690501,5.898747033177922,-15.234422383362174,-1.44562240720804,0.18,18,18.0,100,82,127.66666666666667,7.0209769724062525
1,0.1,2189.93,671.3452536481951,64,2400,100,-5.313195826145819,5.567143435279362,-14.96061051860002,-1.4456224072726134,0.09,9,9.0,100,91,65.88888888888889,1.05409255338946
1,0.2,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
1,0.3,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
1,0.5,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
2,0.001,2398.55,14.500000000000046,2255,2400,100,-11.230655584261088,6.288394957271943,-15.234422135372634,-1.4316092843543538,0.01,1,1.0,100,99,2255.0,
2,0.005,1087.73,103.42223497328168,610,1186,100,-11.235670380642592,6.288354948964518,-15.234422373822849,-1.4456223975030729,1.0,100,100.0,100,0,1087.73,103.42223497328168
2,0.01,576.17,51.41435066735216,339,625,100,-11.235670387993398,6.288354948967398,-15.23442238112305,-1.4456224048876252,1.0,100,100.0,100,0,576.17,51.41435066735216
2,0.05,127.01,9.84269713384938,81,136,100,-11.235670390275821,6.28835494897198,-15.234422383363322,-1.4456224072096933,1.0,100,100.0,100,0,127.01,9.84269713384938
2,0.1,1722.48,1065.4563254372003,54,2400,100,-7.504921402456037,5.520924790406306,-15.234416403283634,-0.1445551234017621,0.29,29,29.0,100,71,63.724137931034484,4.199460439186869
2,0.2,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
2,0.3,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
2,0.5,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
3,0.001,2400.0,0.0,2400,2400,100,-15.228778169258502,0.004800993656855724,-15.234420503845673,-15.219346245321333,0.0,0,0.0,100,100,,
3,0.005,1477.68,597.430303276229,740,2400,100,-12.127087167831924,5.802158833089553,-15.234422373821983,-1.4456223974868594,0.71,71,71.0,100,29,1100.9577464788733,91.77043355487157
3,0.01,1491.79,913.4419233721085,403,2400,100,-12.200886386331751,5.7699503429206525,-15.23442238112069,-1.4456224048881876,0.5,50,50.0,100,50,583.58,49.218003177035676
3,0.05,1809.02,1002.0560679085393,94,2400,100,-14.704083922734334,2.7042061595151488,-15.234422383363292,-1.4456224072097694,0.26,26,26.0,100,74,127.0,11.835539700410793
3,0.1,2306.66,459.57457754235315,63,2400,100,-7.762694924613508,4.921708041391786,-15.191882903596603,-0.1468760834744333,0.04,4,4.0,100,96,66.5,2.3804761428476167
3,0.2,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
3,0.3,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
3,0.5,2400.0,0.0,2400,2400,100,,,,,0.0,0,0.0,100,100,,
